N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0.01,0,0,1,0,-0.00049
0,1,0.01,0,0,0.00037
0.01,0,0.01,0,1.11228,1.11605
0.02,1,0.01,0,2.82727,2.82082
0.01,0,0.02,1,2.57268,2.57322
0.03,0,0.01,0,1.72045,1.72519
0.02,1,0.02,1,7.07392,7.06863
0.01,0,0.03,0,1.15376,1.1496
0.04,1,0.01,0,1.33636,1.34426
0.03,0,0.02,1,5.51213,5.51121
0.02,1,0.03,0,5.26613,5.26171
0.05,0,0.01,0,0.96164,0.95288
0.04,1,0.02,1,4.87852,4.8897
0.03,0,0.03,0,5.33233,5.33204
0.02,1,0.04,1,4.48725,4.49158
0.05,0,0.02,1,4.12306,4.12168
0.04,1,0.03,0,5.60644,5.60319
0.03,0,0.04,1,5.37155,5.37386
0.02,1,0.05,0,3.55871,3.56254
0.06,1,0.02,1,3.92452,3.91468
0.05,0,0.03,0,5.15971,5.16619
0.04,1,0.04,1,7.06244,7.05386
0.03,0,0.05,0,4.71715,4.71814
0.02,1,0.06,1,3.10152,3.10169
0.07,0,0.02,1,3.34904,3.35477
0.06,1,0.03,0,5.03777,5.02719
0.05,0,0.04,1,6.46267,6.4637
0.04,1,0.05,0,6.25707,6.24716
0.03,0,0.06,1,4.33742,4.33169
0.08,1,0.02,1,2.99513,2.99804
0.07,0,0.03,0,4.53135,4.51421
0.06,1,0.04,1,6.49763,6.50519
0.05,0,0.05,0,6.47508,6.49407
0.04,1,0.06,1,6.03204,6.03602
0.03,0,0.07,0,3.64367,3.64749
0.08,1,0.03,0,4.15538,4.17217
0.07,0,0.04,1,5.95254,5.94182
0.06,1,0.05,0,6.92773,6.93712
0.05,0,0.06,1,6.67646,6.67511
0.04,1,0.07,0,5.36405,5.35562
0.09,0,0.03,0,3.7916,3.80199
0.08,1,0.04,1,5.72072,5.71929
0.07,0,0.05,0,6.63122,6.61351
0.06,1,0.06,1,7.68014,7.69334
0.05,0,0.07,0,6.17011,6.16448
0.04,1,0.08,1,4.8902,4.88713
0.1,1,0.03,0,3.50763,3.49997
0.09,0,0.04,1,5.24144,5.23001
0.08,1,0.05,0,6.49642,6.49403
0.07,0,0.06,1,7.46985,7.48503
0.06,1,0.07,0,7.23886,7.25996
0.05,0,0.08,1,5.81176,5.81252
0.1,1,0.04,1,4.9939,4.99698
0.09,0,0.05,0,6.10164,6.12214
0.08,1,0.06,1,7.52032,7.51386
0.07,0,0.07,0,7.47561,7.43855
0.06,1,0.08,1,7.05228,7.04071
0.05,0,0.09,0,5.28521,5.29226
0.11,0,0.04,1,4.54097,4.53851
0.1,1,0.05,0,5.87998,5.87482
0.09,0,0.06,1,7.10017,7.09741
0.08,1,0.07,0,7.69946,7.66258
0.07,0,0.08,1,7.46369,7.42153
0.06,1,0.09,0,6.49746,6.50027
0.05,0,0.1,1,4.86873,4.87022
0.12,1,0.04,1,4.28528,4.27845
0.11,0,0.05,0,5.5073,5.5111
0.1,1,0.06,1,6.92205,6.93801
0.09,0,0.07,0,7.3738,7.39433
0.08,1,0.08,1,7.97621,7.95747
0.07,0,0.09,0,6.96373,6.95756
0.06,1,0.1,1,6.08318,6.08617
0.12,1,0.05,0,5.26967,5.2483
0.11,0,0.06,1,6.55802,6.59983
0.1,1,0.07,0,7.28623,7.31306
0.09,0,0.08,1,7.75073,7.75391
0.08,1,0.09,0,7.54233,7.57311
0.07,0,0.1,1,6.6405,6.67422
0.06,1,0.11,0,5.49608,5.49804
0.13,0,0.05,0,4.97663,4.96592
0.12,1,0.06,1,6.42613,6.40631
0.11,0,0.07,0,7.03856,7.04533
0.1,1,0.08,1,7.7671,7.78269
0.09,0,0.09,0,7.63164,7.66345
0.08,1,0.1,1,7.34126,7.3695
0.07,0,0.11,0,6.20222,6.19348
0.14,1,0.05,0,4.71963,4.73916
0.13,0,0.06,1,6.11827,6.14373
0.12,1,0.07,0,6.94854,6.95284
0.11,0,0.08,1,7.56649,7.52167
0.1,1,0.09,0,7.77902,7.81846
0.09,0,0.1,1,7.56734,7.60997
0.08,1,0.11,0,6.93788,6.91557
0.07,0,0.12,1,5.90203,5.89138
0.14,1,0.06,1,5.96143,5.94027
0.13,0,0.07,0,6.70917,6.72926
0.12,1,0.08,1,7.56857,7.54076
0.11,0,0.09,0,7.72013,7.69244
0.1,1,0.1,1,8.03224,8.00732
0.09,0,0.11,0,7.2985,7.27881
0.08,1,0.12,1,6.72802,6.71473
0.14,1,0.07,0,6.60901,6.6341
0.13,0,0.08,1,7.38937,7.37795
0.12,1,0.09,0,7.73829,7.72014
0.11,0,0.1,1,7.97171,7.96758
0.1,1,0.11,0,7.76555,7.75
0.09,0,0.12,1,7.10503,7.083
0.16,1,0.06,1,5.42108,5.45364
0.15,0,0.07,0,6.37853,6.37891
0.14,1,0.08,1,7.36487,7.35982
0.13,0,0.09,0,7.6243,7.61644
0.12,1,0.1,1,8.08047,8.07106
0.11,0,0.11,0,7.91567,7.89405
0.1,1,0.12,1,7.66276,7.65619
0.16,1,0.07,0,6.23667,6.20875
0.15,0,0.08,1,7.16349,7.13262
0.14,1,0.09,0,7.62234,7.61034
0.13,0,0.1,1,7.95526,7.97206
0.12,1,0.11,0,8.11149,8.10421
0.11,0,0.12,1,7.90111,7.89737
0.1,1,0.13,0,7.33573,7.35319
0.16,1,0.08,1,7.03968,7.0117
0.15,0,0.09,0,7.46358,7.41954
0.14,1,0.1,1,7.99333,8.01097
0.13,0,0.11,0,8.06349,8.08607
0.12,1,0.12,1,8.26071,8.253
0.11,0,0.13,0,7.64958,7.66447
0.1,1,0.14,1,7.16723,7.17746
0.17,0,0.08,1,6.72781,6.69616
0.16,1,0.09,0,7.33631,7.32338
0.15,0,0.1,1,7.8398,7.84127
0.14,1,0.11,0,8.1014,8.12669
0.13,0,0.12,1,8.2235,8.2746
0.12,1,0.13,0,8.02114,8.03831
0.11,0,0.14,1,7.48011,7.49553
0.18,1,0.08,1,6.49748,6.4914
0.17,0,0.09,0,7.08324,7.05483
0.16,1,0.1,1,7.75191,7.79552
0.15,0,0.11,0,8.0042,8.02187
0.14,1,0.12,1,8.33387,8.38214
0.13,0,0.13,0,8.14977,8.17259
0.12,1,0.14,1,7.92471,7.96321
0.18,1,0.09,0,6.86793,6.89961
0.17,0,0.1,1,7.52041,7.54947
0.16,1,0.11,0,7.95695,7.9669
0.15,0,0.12,1,8.26385,8.27358
0.14,1,0.13,0,8.33155,8.34164
0.13,0,0.14,1,8.12434,8.14445
0.12,1,0.15,0,7.66344,7.68122
0.19,0,0.09,0,6.61479,6.62825
0.18,1,0.1,1,7.38835,7.45202
0.17,0,0.11,0,7.79926,7.80018
0.16,1,0.12,1,8.27241,8.26573
0.15,0,0.13,0,8.30989,8.32337
0.14,1,0.14,1,8.44774,8.41351
0.13,0,0.15,0,7.90748,7.92768
0.12,1,0.16,1,7.47879,7.47305
0.2,1,0.09,0,6.44403,6.44353
0.19,0,0.1,1,7.16707,7.18516
0.18,1,0.11,0,7.68215,7.70048
0.17,0,0.12,1,8.1132,8.1086
0.16,1,0.13,0,8.34846,8.34469
0.15,0,0.14,1,8.44864,8.42235
0.14,1,0.15,0,8.25124,8.20137
0.13,0,0.16,1,7.74852,7.75533
0.12,1,0.17,0,7.15883,7.16329
0.2,1,0.1,1,7.03453,7.05183
0.19,0,0.11,0,7.50197,7.50905
0.18,1,0.12,1,8.05451,8.05142
0.17,0,0.13,0,8.26113,8.25408
0.16,1,0.14,1,8.52065,8.51597
0.15,0,0.15,0,8.35351,8.31328
0.14,1,0.16,1,8.12271,8.11524
0.12,1,0.18,1,6.9042,6.92238
0.21,0,0.1,1,6.81309,6.81011
0.2,1,0.11,0,7.39868,7.38787
0.19,0,0.12,1,7.86919,7.87238
0.18,1,0.13,0,8.22552,8.21287
0.17,0,0.14,1,8.45829,8.42815
0.16,1,0.15,0,8.48117,8.44427
0.15,0,0.16,1,8.2818,8.25459
0.14,1,0.17,0,7.86921,7.847
0.21,0,0.11,0,7.21988,7.19476
0.2,1,0.12,1,7.80384,7.79331
0.19,0,0.13,0,8.10034,8.0888
0.18,1,0.14,1,8.48147,8.4377
0.17,0,0.15,0,8.46412,8.44077
0.16,1,0.16,1,8.49313,8.46937
0.15,0,0.17,0,8.0724,8.05739
0.14,1,0.18,1,7.70001,7.66096
0.22,1,0.11,0,7.08993,7.05561
0.21,0,0.12,1,7.63646,7.60857
0.2,1,0.13,0,8.02062,8.02278
0.19,0,0.14,1,8.36106,8.31951
0.18,1,0.15,0,8.51381,8.47332
0.17,0,0.16,1,8.49763,8.48542
0.16,1,0.17,0,8.30476,8.2798
0.15,0,0.18,1,7.92896,7.89813
0.23,0,0.11,0,6.88644,6.88428
0.22,1,0.12,1,7.55039,7.51489
0.21,0,0.13,0,7.86043,7.88217
0.2,1,0.14,1,8.33614,8.29255
0.19,0,0.15,0,8.44818,8.41119
0.18,1,0.16,1,8.5835,8.58256
0.17,0,0.17,0,8.39897,8.38616
0.16,1,0.18,1,8.19767,8.19213
0.23,0,0.12,1,7.35623,7.33678
0.22,1,0.13,0,7.78712,7.8035
0.21,0,0.14,1,8.16956,8.16059
0.2,1,0.15,0,8.44625,8.39969
0.19,0,0.16,1,8.53785,8.52606
0.18,1,0.17,0,8.52028,8.50284
0.17,0,0.18,1,8.32746,8.31222
0.16,1,0.19,0,7.96584,7.94515
0.24,1,0.12,1,7.24442,7.22292
0.23,0,0.13,0,7.62352,7.65336
0.22,1,0.14,1,8.11252,8.11286
0.21,0,0.15,0,8.30787,8.30663
0.2,1,0.16,1,8.57539,8.56065
0.19,0,0.17,0,8.52193,8.51669
0.18,1,0.18,1,8.51991,8.50132
0.17,0,0.19,0,8.14222,8.13701
0.16,1,0.2,1,7.81588,7.79178
0.25,0,0.12,1,7.05511,7.06481
0.24,1,0.13,0,7.53131,7.55743
0.23,0,0.14,1,7.9529,7.97245
0.22,1,0.15,0,8.26756,8.27255
0.21,0,0.16,1,8.45994,8.47418
0.2,1,0.17,0,8.57028,8.5606
0.19,0,0.18,1,8.52714,8.52801
0.18,1,0.19,0,8.33985,8.33488
0.17,0,0.2,1,8.00346,7.98864
0.25,0,0.13,0,7.3771,7.40236
0.24,1,0.14,1,7.89283,7.90777
0.23,0,0.15,0,8.14727,8.15924
0.22,1,0.16,1,8.44878,8.47554
0.21,0,0.17,0,8.50548,8.52222
0.2,1,0.18,1,8.61428,8.62805
0.19,0,0.19,0,8.43806,8.43908
0.18,1,0.2,1,8.24004,8.24748
0.25,0,0.14,1,7.73098,7.76173
0.24,1,0.15,0,8.09797,8.1099
0.23,0,0.16,1,8.34427,8.37213
0.22,1,0.17,0,8.4944,8.5296
0.21,0,0.18,1,8.5626,8.59467
0.2,1,0.19,0,8.55702,8.54807
0.19,0,0.2,1,8.36967,8.35718
0.18,1,0.21,0,8.01346,8.02116
0.26,1,0.14,1,7.66175,7.67519
0.25,0,0.15,0,7.9808,7.98413
0.24,1,0.16,1,8.32932,8.34932
0.23,0,0.17,0,8.42776,8.46048
0.22,1,0.18,1,8.59526,8.64247
0.21,0,0.19,0,8.53809,8.57327
0.2,1,0.2,1,8.5513,8.5312
0.19,0,0.21,0,8.17367,8.20043
0.18,1,0.22,1,7.86229,7.88862
0.27,0,0.14,1,7.50857,7.52852
0.26,1,0.15,0,7.90655,7.91694
0.25,0,0.16,1,8.22964,8.23408
0.24,1,0.17,0,8.41296,8.44495
0.23,0,0.18,1,8.53437,8.57903
0.22,1,0.19,0,8.57607,8.6221
0.21,0,0.2,1,8.54671,8.56432
0.2,1,0.21,0,8.3692,8.38242
0.19,0,0.22,1,8.03439,8.0577
0.27,0,0.15,0,7.76787,7.78217
0.26,1,0.16,1,8.19323,8.18992
0.25,0,0.17,0,8.34589,8.35344
0.24,1,0.18,1,8.55561,8.59533
0.23,0,0.19,0,8.55126,8.60047
0.22,1,0.2,1,8.61656,8.663
0.21,0,0.21,0,8.44493,8.4825
0.2,1,0.22,1,8.25925,8.29582
0.28,1,0.15,0,7.68957,7.68732
0.27,0,0.16,1,8.06383,8.06797
0.26,1,0.17,0,8.32387,8.31993
0.25,0,0.18,1,8.48824,8.51356
0.24,1,0.19,0,8.57622,8.61675
0.23,0,0.2,1,8.60066,8.64397
0.22,1,0.21,0,8.53082,8.58447
0.21,0,0.22,1,8.35293,8.39731
0.2,1,0.23,0,8.06951,8.08721
0.28,1,0.16,1,7.99602,7.999
0.27,0,0.17,0,8.23233,8.21397
0.26,1,0.18,1,8.49384,8.505
0.25,0,0.19,0,8.5467,8.56664
0.24,1,0.2,1,8.65818,8.69621
0.23,0,0.21,0,8.55738,8.61532
0.22,1,0.22,1,8.53352,8.5591
0.21,0,0.23,0,8.21046,8.25423
0.29,0,0.16,1,7.88181,7.87308
0.28,1,0.17,0,8.1816,8.16397
0.27,0,0.18,1,8.41995,8.40986
0.26,1,0.19,0,8.55467,8.56097
0.25,0,0.2,1,8.63054,8.64898
0.24,1,0.21,0,8.61893,8.66485
0.23,0,0.22,1,8.55572,8.59426
0.22,1,0.23,0,8.38003,8.42222
0.21,0,0.24,1,8.08773,8.11518
0.29,0,0.17,0,8.08348,8.05104
0.28,1,0.18,1,8.41242,8.37922
0.27,0,0.19,0,8.51804,8.48926
0.26,1,0.2,1,8.66898,8.672
0.25,0,0.21,0,8.62201,8.65432
0.24,1,0.22,1,8.65645,8.68896
0.23,0,0.23,0,8.48613,8.51582
0.22,1,0.24,1,8.30382,8.33737
0.29,0,0.18,1,8.3114,8.2769
0.28,1,0.19,0,8.51488,8.46518
0.27,0,0.2,1,8.63935,8.60748
0.26,1,0.21,0,8.66509,8.67452
0.25,0,0.22,1,8.66123,8.67827
0.24,1,0.23,0,8.58222,8.61073
0.23,0,0.24,1,8.4072,8.43028
0.22,1,0.25,0,8.13531,8.143
0.3,1,0.18,1,8.24213,8.22463
0.29,0,0.19,0,8.43423,8.37733
0.28,1,0.2,1,8.66669,8.60728
0.27,0,0.21,0,8.6562,8.63892
0.26,1,0.22,1,8.72301,8.73114
0.25,0,0.23,0,8.62306,8.64359
0.24,1,0.24,1,8.57227,8.58056
0.23,0,0.25,0,8.27419,8.29619
0.3,1,0.19,0,8.37227,8.33756
0.29,0,0.2,1,8.59484,8.52955
0.28,1,0.21,0,8.68626,8.63918
0.27,0,0.22,1,8.71116,8.6951
0.26,1,0.23,0,8.68291,8.69216
0.25,0,0.24,1,8.61329,8.61495
0.24,1,0.25,0,8.43993,8.45056
0.23,0,0.26,1,8.16131,8.16099
0.31,0,0.19,0,8.28858,8.24174
0.3,1,0.2,1,8.55016,8.50836
0.29,0,0.21,0,8.63368,8.58443
0.28,1,0.22,1,8.75572,8.72153
0.27,0,0.23,0,8.69592,8.68888
0.26,1,0.24,1,8.70103,8.70494
0.25,0,0.25,0,8.5327,8.53643
0.24,1,0.26,1,8.35403,8.36805
0.32,1,0.19,0,8.22135,8.1864
0.31,0,0.2,1,8.47691,8.42179
0.3,1,0.21,0,8.5968,8.56752
0.29,0,0.22,1,8.70899,8.67026
0.28,1,0.23,0,8.7421,8.71116
0.27,0,0.24,1,8.712,8.69915
0.26,1,0.25,0,8.63377,8.62488
0.25,0,0.26,1,8.46076,8.45157
0.24,1,0.27,0,8.19325,8.18451
0.33,0,0.19,0,8.11503,8.08862
0.32,1,0.2,1,8.42938,8.38186
0.31,0,0.21,0,8.53312,8.49646
0.3,1,0.22,1,8.69167,8.67598
0.29,0,0.23,0,8.71458,8.68625
0.28,1,0.24,1,8.77599,8.75166
0.27,0,0.25,0,8.67033,8.658
0.26,1,0.26,1,8.60957,8.59111
0.25,0,0.27,0,8.32589,8.32239
0.34,1,0.19,0,8.02285,8.00972
0.33,0,0.2,1,8.33058,8.29346
0.32,1,0.21,0,8.49542,8.46424
0.31,0,0.22,1,8.63017,8.61283
0.3,1,0.23,0,8.71013,8.69085
0.29,0,0.24,1,8.7602,8.72346
0.28,1,0.25,0,8.73417,8.70552
0.27,0,0.26,1,8.6488,8.62353
0.26,1,0.27,0,8.47766,8.46401
0.25,0,0.28,1,8.21707,8.19145
0.34,1,0.2,1,8.2475,8.2341
0.33,0,0.21,0,8.39468,8.38233
0.32,1,0.22,1,8.59743,8.59941
0.31,0,0.23,0,8.66204,8.64969
0.3,1,0.24,1,8.77796,8.75232
0.29,0,0.25,0,8.73796,8.70719
0.28,1,0.26,1,8.73638,8.7094
0.27,0,0.27,0,8.56922,8.54211
0.26,1,0.28,1,8.39303,8.38344
0.34,1,0.21,0,8.32096,8.33739
0.33,0,0.22,1,8.51598,8.52645
0.32,1,0.23,0,8.63769,8.63907
0.31,0,0.24,1,8.73192,8.71094
0.3,1,0.25,0,8.76502,8.73118
0.29,0,0.26,1,8.7466,8.70692
0.28,1,0.27,0,8.66962,8.62541
0.27,0,0.28,1,8.49732,8.45729
0.26,1,0.29,0,8.234,8.20799
0.35,0,0.21,0,8.22173,8.25263
0.34,1,0.22,1,8.46611,8.49555
0.33,0,0.23,0,8.57419,8.58296
0.32,1,0.24,1,8.72326,8.72162
0.31,0,0.25,0,8.73833,8.71412
0.3,1,0.26,1,8.79035,8.75935
0.29,0,0.27,0,8.69484,8.65839
0.28,1,0.28,1,8.64278,8.58747
0.27,0,0.29,0,8.35623,8.32995
0.36,1,0.21,0,8.15143,8.1938
0.35,0,0.22,1,8.36437,8.41774
0.34,1,0.23,0,8.53482,8.55784
0.33,0,0.24,1,8.66339,8.67013
0.32,1,0.25,0,8.73671,8.72248
0.31,0,0.26,1,8.77028,8.73703
0.3,1,0.27,0,8.74188,8.70561
0.29,0,0.28,1,8.67093,8.61796
0.28,1,0.29,0,8.50326,8.4606
0.35,0,0.23,0,8.45766,8.48898
0.34,1,0.24,1,8.644,8.6638
0.33,0,0.25,0,8.69664,8.69176
0.32,1,0.26,1,8.79225,8.76827
0.31,0,0.27,0,8.73897,8.71111
0.3,1,0.28,1,8.73206,8.70098
0.29,0,0.29,0,8.57097,8.53166
0.28,1,0.3,1,8.39594,8.38088
0.36,1,0.23,0,8.40755,8.45133
0.35,0,0.24,1,8.56809,8.60285
0.34,1,0.25,0,8.68092,8.68687
0.33,0,0.26,1,8.75477,8.73438
0.32,1,0.27,0,8.76803,8.73714
0.31,0,0.28,1,8.73659,8.70148
0.3,1,0.29,0,8.642,8.61159
0.29,0,0.3,1,8.47378,8.44541
0.37,0,0.23,0,8.32545,8.37593
0.36,1,0.24,1,8.53621,8.57998
0.35,0,0.25,0,8.62814,8.6433
0.34,1,0.26,1,8.75585,8.74958
0.33,0,0.27,0,8.74677,8.72606
0.32,1,0.28,1,8.78077,8.75464
0.31,0,0.29,0,8.6656,8.64476
0.3,1,0.3,1,8.58305,8.5681
0.38,1,0.23,0,8.27644,8.32825
0.37,0,0.24,1,8.45982,8.51167
0.36,1,0.25,0,8.59892,8.62523
0.35,0,0.26,1,8.70377,8.70715
0.34,1,0.27,0,8.75615,8.73807
0.33,0,0.28,1,8.76503,8.73734
0.32,1,0.29,0,8.71551,8.69285
0.31,0,0.3,1,8.61031,8.59728
0.3,1,0.31,0,8.44643,8.44035
0.38,1,0.24,1,8.42807,8.47441
0.37,0,0.25,0,8.5385,8.56891
0.36,1,0.26,1,8.69288,8.70739
0.35,0,0.27,0,8.72133,8.71524
0.34,1,0.28,1,8.79455,8.77126
0.33,0,0.29,0,8.71808,8.70188
0.32,1,0.3,1,8.67934,8.67896
0.31,0,0.31,0,8.51864,8.50523
0.39,0,0.24,1,8.34483,8.4046
0.38,1,0.25,0,8.5051,8.53816
0.37,0,0.26,1,8.63155,8.65666
0.36,1,0.27,0,8.7178,8.71563
0.35,0,0.28,1,8.76349,8.74338
0.34,1,0.29,0,8.75214,8.7306
0.33,0,0.3,1,8.68629,8.68279
0.32,1,0.31,0,8.58393,8.58371
0.31,0,0.32,1,8.41872,8.41653
0.4,1,0.24,1,8.30106,8.35546
0.39,0,0.25,0,8.43742,8.47202
0.38,1,0.26,1,8.61239,8.64163
0.37,0,0.27,0,8.67552,8.68203
0.36,1,0.28,1,8.77746,8.76286
0.35,0,0.29,0,8.73907,8.72448
0.34,1,0.3,1,8.7359,8.73767
0.33,0,0.31,0,8.61163,8.61761
0.32,1,0.32,1,8.52882,8.53362
0.4,1,0.25,0,8.40068,8.43113
0.39,0,0.26,1,8.54635,8.58274
0.38,1,0.27,0,8.65688,8.67074
0.37,0,0.28,1,8.73624,8.7275
0.36,1,0.29,0,8.7571,8.74026
0.35,0,0.3,1,8.72427,8.72529
0.34,1,0.31,0,8.66216,8.66784
0.33,0,0.32,1,8.55506,8.5621
0.32,1,0.33,0,8.39623,8.40563
0.41,0,0.25,0,8.3318,8.36216
0.4,1,0.26,1,8.52172,8.55312
0.39,0,0.27,0,8.60594,8.6257
0.38,1,0.28,1,8.73951,8.73375
0.37,0,0.29,0,8.73147,8.72355
0.36,1,0.3,1,8.75963,8.76232
0.35,0,0.31,0,8.66936,8.68057
0.34,1,0.32,1,8.62544,8.64381
0.33,0,0.33,0,8.4684,8.46484
0.41,0,0.26,1,8.44847,8.48905
0.4,1,0.27,0,8.58174,8.6022
0.39,0,0.28,1,8.69575,8.69135
0.38,1,0.29,0,8.73746,8.72887
0.37,0,0.3,1,8.73415,8.73979
0.36,1,0.31,0,8.70753,8.71274
0.35,0,0.32,1,8.63286,8.6515
0.34,1,0.33,0,8.53057,8.54352
0.33,0,0.34,1,8.36953,8.37441
0.42,1,0.26,1,8.4117,8.44777
0.41,0,0.27,0,8.52437,8.54606
0.4,1,0.28,1,8.68247,8.68384
0.39,0,0.29,0,8.70189,8.70295
0.38,1,0.3,1,8.75568,8.76343
0.37,0,0.31,0,8.70122,8.7112
0.36,1,0.32,1,8.68814,8.70897
0.35,0,0.33,0,8.55774,8.57843
