N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0.9,1,0.63,0,8.2287,8.24355
0.89,0,0.64,1,8.22042,8.23526
0.88,1,0.65,0,8.20505,8.21583
0.87,0,0.66,1,8.18575,8.19143
0.86,1,0.67,0,8.15364,8.15191
0.85,0,0.68,1,8.11883,8.10893
0.84,1,0.69,0,8.07126,8.0539
0.82,1,0.71,0,7.95907,7.92977
0.95,0,0.59,0,8.14889,8.16384
0.94,1,0.6,1,8.19394,8.21127
0.93,0,0.61,0,8.20631,8.21423
0.92,1,0.62,1,8.22684,8.24457
0.91,0,0.63,0,8.2171,8.22834
0.9,1,0.64,1,8.2248,8.2411
0.89,0,0.65,0,8.19667,8.20993
0.88,1,0.66,1,8.19313,8.20117
0.87,0,0.67,0,8.15068,8.15571
0.86,1,0.68,1,8.13239,8.12494
0.85,0,0.69,0,8.07421,8.06476
0.84,1,0.7,1,8.03994,8.01737
0.96,1,0.59,0,8.13104,8.14514
0.95,0,0.6,1,8.1703,8.17999
0.94,1,0.61,0,8.1953,8.20836
0.93,0,0.62,1,8.21122,8.22063
0.92,1,0.63,0,8.21667,8.22954
0.91,0,0.64,1,8.21325,8.22681
0.9,1,0.65,0,8.20291,8.21537
0.89,0,0.66,1,8.18435,8.19765
0.88,1,0.67,0,8.1592,8.16572
0.87,0,0.68,1,8.12944,8.13042
0.86,1,0.69,0,8.08838,8.08129
0.85,0,0.7,1,8.04382,8.02816
0.84,1,0.71,0,7.98744,7.96792
0.96,1,0.6,1,8.15807,8.1725
0.95,0,0.61,0,8.17671,8.18457
0.94,1,0.62,1,8.205,8.22113
0.93,0,0.63,0,8.20462,8.21149
0.92,1,0.64,1,8.21532,8.2313
0.91,0,0.65,0,8.19464,8.20584
0.9,1,0.66,1,8.19243,8.20541
0.89,0,0.67,0,8.15505,8.16602
0.88,1,0.68,1,8.14191,8.14334
0.87,0,0.69,0,8.0896,8.08978
0.86,1,0.7,1,8.06171,8.04828
0.85,0,0.71,0,7.99537,7.98088
0.84,1,0.72,1,7.95265,7.92809
0.97,0,0.6,1,8.13196,8.13861
0.96,1,0.61,0,8.16415,8.17474
0.95,0,0.62,1,8.18706,8.19423
0.94,1,0.63,0,8.19979,8.21046
0.93,0,0.64,1,8.2035,8.21326
0.92,1,0.65,0,8.19814,8.20961
0.91,0,0.66,1,8.18463,8.19798
0.9,1,0.67,0,8.16314,8.1738
0.89,0,0.68,1,8.13638,8.14573
0.88,1,0.69,0,8.10143,8.10308
0.87,0,0.7,1,8.06277,8.05728
0.86,1,0.71,0,8.01332,8.00142
0.84,1,0.73,0,7.89604,7.87723
0.97,0,0.61,0,8.14325,8.1492
0.96,1,0.62,1,8.1773,8.1923
0.95,0,0.63,0,8.18503,8.18994
0.94,1,0.64,1,8.20182,8.21637
0.93,0,0.65,0,8.18915,8.19669
0.92,1,0.66,1,8.19013,8.20414
0.91,0,0.67,0,8.15847,8.17047
0.9,1,0.68,1,8.14793,8.15605
0.89,0,0.69,0,8.1012,8.10874
0.88,1,0.7,1,8.0792,8.07397
0.87,0,0.71,0,8.01857,8.01295
0.86,1,0.72,1,7.98128,7.96418
0.98,1,0.61,0,8.12686,8.13456
0.97,0,0.62,1,8.15749,8.16272
0.96,1,0.63,0,8.1767,8.18622
0.95,0,0.64,1,8.18761,8.19484
0.94,1,0.65,0,8.1888,8.19876
0.93,0,0.66,1,8.18158,8.1928
0.92,1,0.67,0,8.1651,8.17638
0.91,0,0.68,1,8.14277,8.15502
0.9,1,0.69,0,8.11275,8.1193
0.89,0,0.7,1,8.07807,8.08073
0.88,1,0.71,0,8.0346,8.02996
0.87,0,0.72,1,7.98656,7.97511
0.86,1,0.73,0,7.92872,7.91525
0.98,1,0.62,1,8.14462,8.15771
0.97,0,0.63,0,8.16002,8.16358
0.96,1,0.64,1,8.18301,8.19634
0.95,0,0.65,0,8.17747,8.18275
0.94,1,0.66,1,8.18405,8.19761
0.93,0,0.67,0,8.1586,8.16944
0.92,1,0.68,1,8.15172,8.16321
0.91,0,0.69,0,8.11082,8.12177
0.9,1,0.7,1,8.09256,8.09433
0.89,0,0.71,0,8.03834,8.0395
0.88,1,0.72,1,8.00638,7.99574
0.87,0,0.73,0,7.93827,7.92822
0.86,1,0.74,1,7.89277,7.8755
0.99,0,0.62,1,8.12204,8.12561
0.98,1,0.63,0,8.14898,8.15652
0.97,0,0.64,1,8.16719,8.17163
0.96,1,0.65,0,8.17448,8.18294
0.95,0,0.66,1,8.17331,8.18248
0.94,1,0.67,0,8.16312,8.17371
0.93,0,0.68,1,8.14586,8.15857
0.92,1,0.69,0,8.12049,8.13003
0.91,0,0.7,1,8.09042,8.09844
0.9,1,0.71,0,8.05278,8.05338
0.89,0,0.72,1,8.00912,8.00518
0.88,1,0.73,0,7.95745,7.94907
0.86,1,0.75,0,7.83631,7.82545
0.99,0,0.63,0,8.12944,8.13204
0.98,1,0.64,1,8.15903,8.17112
0.97,0,0.65,0,8.16282,8.16418
0.96,1,0.66,1,8.17346,8.186
0.95,0,0.67,0,8.15542,8.16331
0.94,1,0.68,1,8.1524,8.16502
0.93,0,0.69,0,8.11759,8.12912
0.92,1,0.7,1,8.10256,8.10936
0.91,0,0.71,0,8.05456,8.06046
0.9,1,0.72,1,8.02712,8.02253
0.89,0,0.73,0,7.96433,7.96087
0.88,1,0.74,1,7.92382,7.9115
1,1,0.63,0,8.11547,8.12087
0.99,0,0.64,1,8.1403,8.14353
0.98,1,0.65,0,8.15563,8.1621
0.97,0,0.66,1,8.16179,8.16725
0.96,1,0.67,0,8.15697,8.16602
0.95,0,0.68,1,8.14474,8.15666
0.94,1,0.69,0,8.12498,8.13546
0.93,0,0.7,1,8.09914,8.11049
0.92,1,0.71,0,8.06668,8.0716
0.91,0,0.72,1,8.02797,8.0301
0.9,1,0.73,0,7.98189,7.97838
0.89,0,0.74,1,7.9303,7.92221
0.88,1,0.75,0,7.87086,7.86312
0.99,0,0.65,0,8.13976,8.14095
0.98,1,0.66,1,8.15871,8.16937
0.97,0,0.67,0,8.14793,8.15236
0.96,1,0.68,1,8.14902,8.16168
0.95,0,0.69,0,8.11962,8.1311
0.94,1,0.7,1,8.10945,8.11914
0.93,0,0.71,0,8.0658,8.07587
0.92,1,0.72,1,8.04381,8.04442
0.91,0,0.73,0,7.987,7.98851
0.9,1,0.74,1,7.95145,7.94335
0.89,0,0.75,0,7.88105,7.87575
0.88,1,0.76,1,7.83329,7.82371
0.99,0,0.66,1,8.14391,8.14726
0.98,1,0.67,0,8.14696,8.15342
0.97,0,0.68,1,8.13994,8.1496
0.96,1,0.69,0,8.12555,8.13578
0.95,0,0.7,1,8.10484,8.11702
0.94,1,0.71,0,8.07675,8.08467
0.93,0,0.72,1,8.04287,8.04976
0.92,1,0.73,0,8.00305,8.003
0.91,0,0.74,1,7.95597,7.95281
0.9,1,0.75,0,7.90152,7.89696
1.01,0,0.65,0,8.11368,8.11288
1,1,0.66,1,8.13728,8.14771
0.99,0,0.67,0,8.1355,8.1368
0.98,1,0.68,1,8.14196,8.15333
0.97,0,0.69,0,8.11895,8.128
0.96,1,0.7,1,8.11247,8.1238
0.95,0,0.71,0,8.07417,8.08588
0.94,1,0.72,1,8.05644,8.06137
0.93,0,0.73,0,8.00497,8.01103
0.92,1,0.74,1,7.9749,7.97085
0.91,0,0.75,0,7.90998,7.90862
0.9,1,0.76,1,7.86634,7.85939
1.01,0,0.66,1,8.12099,8.12251
1,1,0.67,0,8.13038,8.13595
0.99,0,0.68,1,8.13175,8.13762
0.98,1,0.69,0,8.12259,8.13117
0.97,0,0.7,1,8.1062,8.11826
0.96,1,0.71,0,8.08302,8.09269
0.95,0,0.72,1,8.05418,8.06418
0.94,1,0.73,0,8.01886,8.02283
0.93,0,0.74,1,7.97673,7.97876
0.91,0,0.76,1,7.87397,7.86955
0.9,1,0.77,0,7.81283,7.81156
1.02,1,0.66,1,8.11254,8.12084
1.01,0,0.67,0,8.11682,8.11667
1,1,0.68,1,8.1296,8.14008
0.99,0,0.69,0,8.11495,8.12009
0.98,1,0.7,1,8.1119,8.12347
0.97,0,0.71,0,8.08037,8.0907
0.96,1,0.72,1,8.06555,8.0734
0.95,0,0.73,0,8.01943,8.02844
0.94,1,0.74,1,7.99393,7.99385
0.93,0,0.75,0,7.93512,7.93695
0.92,1,0.76,1,7.89594,7.89126
0.91,0,0.77,0,7.82385,7.82347
0.9,1,0.78,1,7.7736,7.77276
1.03,0,0.66,1,8.09476,8.09284
1.02,1,0.67,0,8.10907,8.11351
1.01,0,0.68,1,8.11702,8.12091
1,1,0.69,0,8.11447,8.12176
0.99,0,0.7,1,8.10453,8.11442
0.98,1,0.71,0,8.08634,8.0958
0.97,0,0.72,1,8.06178,8.0734
0.96,1,0.73,0,8.03096,8.03787
0.95,0,0.74,1,7.99454,7.99993
0.94,1,0.75,0,7.9514,7.95215
0.93,0,0.76,1,7.90128,7.90034
0.92,1,0.77,0,7.8456,7.84519
1.03,0,0.67,0,8.0938,8.09191
1.02,1,0.68,1,8.11196,8.12192
1.01,0,0.69,0,8.10552,8.10757
1,1,0.7,1,8.10661,8.11829
0.99,0,0.71,0,8.08167,8.09055
0.98,1,0.72,1,8.07088,8.0806
0.97,0,0.73,0,8.0303,8.04079
0.96,1,0.74,1,8.00895,8.01232
0.95,0,0.75,0,7.95506,7.96063
0.94,1,0.76,1,7.92113,7.91913
0.92,1,0.78,1,7.80824,7.80794
1.04,1,0.67,0,8.08361,8.08587
1.03,0,0.68,1,8.09775,8.0995
1.02,1,0.69,0,8.10189,8.1076
1.01,0,0.7,1,8.09788,8.10571
1,1,0.71,0,8.08466,8.09414
0.99,0,0.72,1,8.06607,8.07756
0.98,1,0.73,0,8.03979,8.04817
0.97,0,0.74,1,8.00811,8.01628
0.96,1,0.75,0,7.96941,7.97321
0.95,0,0.76,1,7.9242,7.92691
0.94,1,0.77,0,7.87349,7.87506
0.93,0,0.78,1,7.81662,7.8172
0.92,1,0.79,0,7.75411,7.76057
1.04,1,0.68,1,8.09041,8.09876
1.03,0,0.69,0,8.09104,8.09056
1.02,1,0.7,1,8.09743,8.10833
1.01,0,0.71,0,8.07823,8.08567
1,1,0.72,1,8.07174,8.08305
0.99,0,0.73,0,8.03771,8.04821
0.98,1,0.74,1,8.02017,8.02622
0.97,0,0.75,0,7.97167,7.97962
0.96,1,0.76,1,7.94216,7.94289
0.95,0,0.77,0,7.88026,7.88494
0.94,1,0.78,1,7.83925,7.83959
0.93,0,0.79,0,7.76616,7.77138
0.92,1,0.8,1,7.71359,7.72264
1.04,1,0.69,0,8.08446,8.08864
1.03,0,0.7,1,8.08743,8.09231
1.02,1,0.71,0,8.07903,8.08782
1.01,0,0.72,1,8.06602,8.07682
1,1,0.73,0,8.04406,8.05382
0.99,0,0.74,1,8.01833,8.02783
0.98,1,0.75,0,7.98391,7.98985
0.97,0,0.76,1,7.94403,7.94917
0.96,1,0.77,0,7.89807,7.90101
0.95,0,0.78,1,7.84542,7.84788
0.94,1,0.79,0,7.78824,7.79379
1.05,0,0.69,0,8.07064,8.06904
1.04,1,0.7,1,8.08385,8.09361
1.03,0,0.71,0,8.07145,8.07623
1.02,1,0.72,1,8.06853,8.08084
1.01,0,0.73,0,8.04045,8.05086
1,1,0.74,1,8.02726,8.03562
0.99,0,0.75,0,7.98509,7.99395
0.98,1,0.76,1,7.95946,7.96248
0.97,0,0.77,0,7.90248,7.9094
0.96,1,0.78,1,7.86612,7.86756
0.94,1,0.8,1,7.74978,7.75719
1.06,1,0.69,0,8.06177,8.06473
1.05,0,0.7,1,8.07092,8.07428
1.04,1,0.71,0,8.06914,8.07689
1.03,0,0.72,1,8.06076,8.07132
1.02,1,0.73,0,8.04445,8.05491
1.01,0,0.74,1,8.02411,8.03462
1,1,0.75,0,7.99482,8.00208
0.99,0,0.76,1,7.96073,7.96704
0.98,1,0.77,0,7.91791,7.92294
0.97,0,0.78,1,7.86955,7.87474
0.96,1,0.79,0,7.8176,7.82355
0.95,0,0.8,1,7.75923,7.7652
1.07,0,0.69,0,8.04512,8.04289
1.06,1,0.7,1,8.06409,8.07407
1.05,0,0.71,0,8.05902,8.06235
1.04,1,0.72,1,8.06136,8.07403
1.03,0,0.73,0,8.03867,8.04892
1.02,1,0.74,1,8.03011,8.04055
1.01,0,0.75,0,7.99397,8.00368
1,1,0.76,1,7.97268,7.97787
0.99,0,0.77,0,7.92153,7.9296
0.98,1,0.78,1,7.88899,7.89175
0.97,0,0.79,0,7.82538,7.83258
0.96,1,0.8,1,7.78266,7.78843
0.95,0,0.81,0,7.70795,7.71947
1.07,0,0.7,1,8.04997,8.05161
1.06,1,0.71,0,8.05345,8.06133
1.05,0,0.72,1,8.05184,8.06121
1.04,1,0.73,0,8.04083,8.05152
1.03,0,0.74,1,8.02503,8.03675
1.02,1,0.75,0,8.00122,8.00995
1.01,0,0.76,1,7.97244,7.9805
1,1,0.77,0,7.93463,7.94081
0.99,0,0.78,1,7.89249,7.8977
0.98,1,0.79,0,7.84386,7.84972
0.97,0,0.8,1,7.78993,7.79554
0.96,1,0.81,0,7.73217,7.74281
1.08,1,0.7,1,8.04284,8.04955
1.07,0,0.71,0,8.04205,8.04408
1.06,1,0.72,1,8.04944,8.06264
1.04,1,0.74,1,8.02926,8.04106
1.03,0,0.75,0,7.99816,8.0089
1.02,1,0.76,1,7.98191,7.98909
1.01,0,0.77,0,7.93655,7.94552
1,1,0.78,1,7.90825,7.9121
0.99,0,0.79,0,7.8494,7.85749
0.98,1,0.8,1,7.81136,7.81627
0.96,1,0.82,1,7.69083,7.70717
1.08,1,0.71,0,8.03507,8.04104
1.07,0,0.72,1,8.03855,8.04656
1.06,1,0.73,0,8.03358,8.04369
1.05,0,0.74,1,8.02328,8.03433
1.04,1,0.75,0,8.00377,8.01353
1.03,0,0.76,1,7.97948,7.98958
1.02,1,0.77,0,7.94752,7.95461
1.01,0,0.78,1,7.91068,7.91668
1,1,0.79,0,7.86564,7.8722
0.99,0,0.8,1,7.81624,7.82241
0.98,1,0.81,0,7.76349,7.77228
0.97,0,0.82,1,7.70147,7.7136
1.09,0,0.71,0,8.02204,8.02133
1.08,1,0.72,1,8.03493,8.04662
1.07,0,0.73,0,8.02588,8.03178
1.06,1,0.74,1,8.02544,8.0372
1.05,0,0.75,0,7.99999,8.00973
1.04,1,0.76,1,7.98742,7.99616
1.03,0,0.77,0,7.94763,7.95721
1.02,1,0.78,1,7.92361,7.92862
1.01,0,0.79,0,7.87032,7.87854
1,1,0.8,1,7.83611,7.84061
0.99,0,0.81,0,7.77141,7.78
0.98,1,0.82,1,7.7257,7.73787
1.1,1,0.71,0,8.01193,8.01582
1.09,0,0.72,1,8.022,8.02739
1.08,1,0.73,0,8.0234,8.03142
1.07,0,0.74,1,8.01795,8.02743
1.06,1,0.75,0,8.00414,8.01285
1.05,0,0.76,1,7.98343,7.9943
1.04,1,0.77,0,7.95652,7.96438
1.03,0,0.78,1,7.92413,7.93167
1.02,1,0.79,0,7.88383,7.89097
1.01,0,0.8,1,7.83968,7.84573
1,1,0.81,0,7.79192,7.79843
0.99,0,0.82,1,7.73411,7.74344
1.1,1,0.72,1,8.01484,8.02584
1.09,0,0.73,0,8.01263,8.01674
1.08,1,0.74,1,8.01831,8.02897
1.07,0,0.75,0,7.99862,8.00626
1.06,1,0.76,1,7.98973,7.9991
1.05,0,0.77,0,7.95489,7.9647
1.04,1,0.78,1,7.93475,7.9413
1.03,0,0.79,0,7.88723,7.8957
1.02,1,0.8,1,7.85697,7.86144
1.01,0,0.81,0,7.79636,7.80507
1,1,0.82,1,7.75633,7.76539
1.12,1,0.71,0,7.98481,7.98537
1.11,0,0.72,1,8.00003,8.00361
1.1,1,0.73,0,8.00673,8.01464
1.09,0,0.74,1,8.00832,8.01612
1.08,1,0.75,0,8.00101,8.00795
1.07,0,0.76,1,7.98501,7.99471
1.06,1,0.77,0,7.96182,7.97013
1.05,0,0.78,1,7.93334,7.94264
1.04,1,0.79,0,7.89856,7.906
1.03,0,0.8,1,7.85939,7.86547
1.02,1,0.81,0,7.81567,7.8212
1.01,0,0.82,1,7.76215,7.77008
1.12,1,0.72,1,7.99072,8.00011
1.11,0,0.73,0,7.99375,7.99737
1.1,1,0.74,1,8.00508,8.01632
1.09,0,0.75,0,7.99275,7.9986
1.08,1,0.76,1,7.98868,7.99792
1.07,0,0.77,0,7.9592,7.96807
1.06,1,0.78,1,7.94257,7.95014
1.05,0,0.79,0,7.90019,7.90899
1.04,1,0.8,1,7.87437,7.87874
1.03,0,0.81,0,7.81867,7.82664
1.02,1,0.82,1,7.78272,7.78967
1.01,0,0.83,0,7.71263,7.72729
1.13,0,0.72,1,7.97397,7.97506
1.12,1,0.73,0,7.98636,7.99317
1.11,0,0.74,1,7.99291,8.00041
1.1,1,0.75,0,7.99101,7.99882
1.09,0,0.76,1,7.9813,7.99086
1.08,1,0.77,0,7.96372,7.9719
1.07,0,0.78,1,7.93978,7.9496
1.06,1,0.79,0,7.90944,7.91732
1.05,0,0.8,1,7.87454,7.88159
1.04,1,0.81,0,7.83558,7.84055
1.03,0,0.82,1,7.78693,7.79349
1.14,1,0.72,1,7.9643,7.96912
1.13,0,0.73,0,7.97184,7.97354
1.12,1,0.74,1,7.9886,7.99915
1.11,0,0.75,0,7.98127,7.98676
1.1,1,0.76,1,7.98283,7.99262
1.09,0,0.77,0,7.95805,7.96737
1.08,1,0.78,1,7.94681,7.95516
1.07,0,0.79,0,7.90954,7.91842
1.06,1,0.8,1,7.88826,7.89252
1.05,0,0.81,0,7.83753,7.84469
1.04,1,0.82,1,7.80535,7.8107
1.03,0,0.83,0,7.73912,7.7523
1.02,1,0.84,1,7.69595,7.71503
1.14,1,0.73,0,7.96321,7.96679
1.13,0,0.74,1,7.97512,7.98025
1.12,1,0.75,0,7.97795,7.98539
1.11,0,0.76,1,7.97378,7.98278
1.1,1,0.77,0,7.96067,7.9697
1.09,0,0.78,1,7.94117,7.95256
1.08,1,0.79,0,7.91743,7.92493
1.07,0,0.8,1,7.88699,7.89407
1.06,1,0.81,0,7.85246,7.8565
1.05,0,0.82,1,7.8084,7.81366
1.04,1,0.83,0,7.75821,7.77008
1.03,0,0.84,1,7.70476,7.7179
1.15,0,0.73,0,7.94632,7.94504
1.14,1,0.74,1,7.96905,7.97728
1.13,0,0.75,0,7.96675,7.97073
1.12,1,0.76,1,7.97386,7.98314
1.11,0,0.77,0,7.95485,7.96264
1.1,1,0.78,1,7.9479,7.95636
1.09,0,0.79,0,7.91475,7.92403
1.08,1,0.8,1,7.89905,7.90279
1.07,0,0.81,0,7.85305,7.85923
1.06,1,0.82,1,7.82484,7.82849
1.05,0,0.83,0,7.76419,7.77412
1.04,1,0.84,1,7.72465,7.73907
1.15,0,0.74,1,7.95345,7.95552
1.14,1,0.75,0,7.96181,7.96753
1.13,0,0.76,1,7.963,7.97046
1.12,1,0.77,0,7.95602,7.9635
1.11,0,0.78,1,7.9414,7.95152
1.1,1,0.79,0,7.92199,7.92884
1.09,0,0.8,1,7.89692,7.90291
1.08,1,0.81,0,7.86627,7.86903
1.07,0,0.82,1,7.8263,7.83056
1.06,1,0.83,0,7.781,7.78978
1.05,0,0.84,1,7.73113,7.74118
1.16,1,0.74,1,7.94757,7.95047
1.15,0,0.75,0,7.95005,7.95043
1.14,1,0.76,1,7.9621,7.96939
1.13,0,0.77,0,7.9477,7.95392
1.12,1,0.78,1,7.94649,7.95371
1.11,0,0.79,0,7.91883,7.92584
1.1,1,0.8,1,7.90702,7.90955
1.09,0,0.81,0,7.86606,7.87026
1.08,1,0.82,1,7.84113,7.84306
1.07,0,0.83,0,7.78534,7.79275
1.06,1,0.84,1,7.74946,7.76009
1.17,0,0.74,1,7.93144,7.92598
1.16,1,0.75,0,7.94396,7.94504
1.15,0,0.76,1,7.95057,7.95387
1.14,1,0.77,0,7.94811,7.95324
1.13,0,0.78,1,7.93873,7.94648
1.12,1,0.79,0,7.92468,7.92904
1.11,0,0.8,1,7.9038,7.90807
1.1,1,0.81,0,7.87714,7.87816
1.09,0,0.82,1,7.84136,7.84419
1.08,1,0.83,0,7.80066,7.80634
1.07,0,0.84,1,7.75379,7.7615
1.06,1,0.85,0,7.70292,7.71903
1.17,0,0.75,0,7.93024,7.92568
1.16,1,0.76,1,7.94852,7.95121
1.15,0,0.77,0,7.939,7.94118
1.14,1,0.78,1,7.94249,7.94715
1.13,0,0.79,0,7.9201,7.92387
1.12,1,0.8,1,7.91207,7.91278
1.11,0,0.81,0,7.87602,7.87779
1.1,1,0.82,1,7.85467,7.85441
1.09,0,0.83,0,7.80361,7.80821
1.08,1,0.84,1,7.77107,7.77812
1.07,0,0.85,0,7.70973,7.72118
1.18,1,0.75,0,7.92394,7.91763
1.17,0,0.76,1,7.93627,7.93288
1.16,1,0.77,0,7.93813,7.9388
1.15,0,0.78,1,7.93379,7.93742
1.14,1,0.79,0,7.92416,7.92552
1.13,0,0.8,1,7.90797,7.90953
1.12,1,0.81,0,7.88534,7.88388
1.11,0,0.82,1,7.85392,7.85451
1.1,1,0.83,0,7.81717,7.81978
1.09,0,0.84,1,7.77395,7.77888
1.08,1,0.85,0,7.72711,7.73884
1.07,0,0.86,1,7.67585,7.689
1.18,1,0.76,1,7.93202,7.92839
1.17,0,0.77,0,7.92849,7.92434
1.16,1,0.78,1,7.93594,7.93659
1.15,0,0.79,0,7.91877,7.91811
1.14,1,0.8,1,7.9146,7.91246
1.13,0,0.81,0,7.88352,7.88183
1.12,1,0.82,1,7.86542,7.86256
1.11,0,0.83,0,7.81922,7.8205
1.1,1,0.84,1,7.78929,7.7932
1.09,0,0.85,0,7.73225,7.74013
1.08,1,0.86,1,7.695,7.70979
1.19,0,0.76,1,7.91774,7.90732
1.18,1,0.77,0,7.92491,7.92001
